OLYMPUS UPLANSAPO 100X 1.40 NA OBJECTIVE FOR THE BX & IX SERIES MICROSCOPES, 3 785 $, Used,  France
Zeiss Laboval 4 Microscope (4 Objectives), 4 425 $,  USA, 2008
Zeiss W Plan-Apochromat 40x/1.0 DIC VIS-IR Objective, 5 431 $,  USA, Used
CentriVap -50 Cold Trap with Stainless Steel Lid, 6 035 $,  USA, Used
BIOMERIEUX Vitek 2 Compact Microbiological Analyzer, 5 500 $,  USA, For Parts
THERMO SCIENTIFIC Microm HMS 740 Slide Stainer, 724 $,  USA, Used
Thermo Electron Corporation Shandon Pathcentre PCB Enclosed Tissue Processor (800-2653), 1 086 $,  Jordan, New
CIMAREC Telemodul 20c Laboratory Controller, 5 431 $, 2018, New
THERMO SCIENTIFIC Pierce Other Lab Equipment, 5 431 $, New,  USA
HORIBA Pentra DX 120 SPS Hematology Analyzer, 5 431 $, Used,  USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer, 7 499 $, New,  Ukraine
HORIBA Pentra DF Nexus Hematology Analyzer, 303 $, Used,  USA
