equipment,cost,condition,country
Thermo Electron Corporation Shandon Pathcentre PCB Enclosed Tissue Processor (800-2653),1086,New,Jordan
CIMAREC Telemodul 20c Laboratory Controller,5431,New,
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,New,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,7499,New,Ukraine
HORIBA Pentra DF Nexus Hematology Analyzer,303,Used,USA
Used Sysmex Poch - 100i Hematology Analyzers,152,Used,Netherlands
Nikon C-FMBN Bonder Arm Mount 76mm Dia with 5/8,400,New,Netherlands
Leica S- Series 10x/23B Widefield Adjustable Eyepiece Part # 10447137,10000,Used,France
G161914 Nikon TMS Inverted Binocular Microscope w/Eyepieces & Optics,110000,,France
Used Tecan Infinite M1000 Microplate Reader w/ Injectors,100,Used,
Refurbished Hitachi S-4700-II Electron Microscope,16500,Used,France
Barnstead Maxi Mix Plus Vortexer Vortex Mixer M63215 30 D Warranty,37,,USA
Tecan Freedom EVO-2 100,325,Used,USA
CROUZET CW PERISTALTIC PUMP 82334.5 60 RPM,724,Used,USA
Abbot X Systems Model 3531 Centrifuge LN 9527-25,1086,New,USA
CIMAREC Telemodul 20c Laboratory Controller,5431,Refurbished,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,400,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,1000,Used,USA
Thermo Forma 1886 Laminar Flow Hood / Animal Bedding Disposal Cabinet (203-4160),1000,Certified Refurbished,USA
T158958 Hitema ECA.001 Package Water Chiller 230V/50Hz,8800,Used,Netherlands
Leybold 825B VACUUM PUMP W/AEG MOTOR AEG AMEB 100LT4H2,5121,Used,Netherlands
Zeiss Model Axio Imager M1 Motorized Upright Fluorescence Microscope,5000,New,France
Leica S APO Stereo Microscope on LED Transmitted Light Stand,18044,Used,
BIOMERIEUX BacTalert 3D Bacterial Identification System,16656,Used,France
AGILENT 1100 HPLC Liquid Chromatograph,174,,France
TECHNOLOGY ES Complex V.4.0 Biochemical Analyzer,200,Used,
Case/100 BD Falcon Optilux Microtest 96 Well Plates Assay Plates 353293 Black,724,New,USA
Ames 4480 Hema-Tek 1000 Slide Stainer- Parts,1086,New,USA
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,80,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,1600,New,USA
10 bottles Azzota Microscopes Immersion Oil - 7ml per bottle,1871,Refurbished,Portugal
LEICA PHOTO PORT FOR MZ STEREOZOOMS,844,Used,Germany
Olympus U-UCDB-2 Universal Condenser For BX Series 6-U520,1480,Used,USA
Olympus BH2-PC Phase Contrast Turret Condenser,50000,Used,Netherlands
"Used FAXITRON X-RAY MODEL MX-20 SPECIMEN RADIOGRAPHY SYSTEM OPTIONS DC-4, A07",20000,New,Netherlands
Used Perkin Elmer Optima 8000 ICP-OES ***SETUP***FINANCING**30 Day Warranty***,30000,Used,France
Used X-RAY SPECTROMETER Asoma Phoenix II XRF Analyzer sulfur ***FINANCING*WARRANTY***,1000,Used,France
NEW EDX 3200 SDD XRF X-Ray Spectrometer ***Financing * 1 Year Warranty***,90000,Used,France
Perkin Elmer 1720 X FTIR Spectrometer System,724,Used,USA
