equipment,cost,condition,country
Used MITUTOYO DIGIMATIC MINI-PROCESSOR DP-1 HS 264-503,1000,New,Ukraine
Used NEURO TECHNOLOGY DIGISTIM 2 PLUS PERIPHERAL NERVE STIMULATOR (BB),12,New,Netherlands
Used 10497 ROHDE & SCHWARZ R&S CMU200 UNIVERSAL RADIO COMMUNICATION TESTER,160,Used,Netherlands
Used BEDSPECS SWIFT PRISM GLASSES EYE GLASSES MODEL 791J,724,New,France
Used VELOCICALC PLUS AIR VELOCITY METER MODEL 8386,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,Ukraine
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,Ukraine
HORIBA ABX Pentra DX Nexus Hematology Analyzer,225,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,950,Used,USA
Used HELENA LABORATORIES REP FLUR PHOTO VIEW BOX MODEL 1412,435,New,USA
Used MOTHERBOARD P/N: C17145119 FOR USE WITH HITACHI 917 AND 7180 CHEMISTRY ANALYZER,750,New,USA
"Used BARCODE READER P/N: 707-4029 FOR HITACHI 911, H912, H917 CHEMISTRY ANALYZER",7345,New,USA
Used BAXTER HEMTRON II TUBE SEALER - FULLY RECONDITIONED,30,New,USA
Refurbished LEICA BENCHMARK ANGLE ONE DIGITAL STEREOTAXIC INSTRUMENT WITH ANESTHESIA MASK,600,New,USA
12 RediSep RF Empty Sample Load Disposable Flash Cartridges 65G 69-3873-225,123,New,USA
R148549 PhotoMedex XTRAC Ultra Laser Skin System AL8000 Ver 4.10.6Nhe,338,New,Netherlands
Used STRATAGENE TRANSILLUMINATOR 4000,575,Used,Netherlands
BIO-RAD UNIVERSAL HOOD II GEL MOLECULAR IMAGER IMAGING SYSTEM,724,New,France
Used NDS Radiance HD SC-WU26-A1511 Medical Display with Power Supply,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,149,For Parts,USA
HORIBA Pentra DF Nexus Hematology Analyzer,100,For Parts,USA
Used TE Series Transphor Electrophoresis Unit w/ cassettes,100,Used,USA
G157539 Lot (2) Applied Kilovolts Power Supplies HP8/173 & K1/11,90000,Refurbished,USA
R138386 OWL Electrophoresis Model D3 Cell 0-150v 0-100mA Class II,150,Refurbished,USA
Used S5XL System (S5XL Sequencer and S5XL Server) and IonChef Instruments,900,New,USA
G153439 Bio Rad GS-700 Imaging Densitometer,6700,For Parts,USA
Used Brookfield LVDVE DV-E Viscometer (800-2084),8700,For Parts,USA
Refurbished Shimadzu TOC-5000A Total Carbon Analyzer with ONE YEAR WARRANTY,120,Used,Netherlands
Refurbished Shimadzu TOC-5050A Total Carbon Analyzer with Control Software and ONE YEAR WARRANTY,33,Used,Netherlands
Reichert-Jung 10406 Refractometers,724,New,France
Used RADIOMETER COPENHAGEN PHM62 STD PH METER IN GOOD WORKING COND 14313 A.B/KR,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,32,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,343,New,USA
Used ORION RESEARCH INC MODEL 250A THERMO ORION PH METER,500,Used,USA
Ohaus pH Meter ST300 Model # 83033961,3999,Used,USA
G147508 Mettler Toledo SevenMulti pH Meter w/pH mV/ORP Plug-in,400,Used,USA
Used ThermoFisher NanoDrop 1000 UV/VIS Spectrophotometer System-New Calibration Testing!,250,Used,USA
Used HEWLETT PACKARD HP 8452A DIODE ARRAY SPECTROPHOTOMETER,2500,Used,USA
Used BECKMAN COULTER DU-65 SPECTROPHOTOMETER,23000,Used,USA
Used Carl Zeiss EL-Einsatz Imaging Fluorescent Microscope,15000,Used,Netherlands
NEW EDX XRF ALLOY analyzer X-Ray Spectrometer Hand-Held MINING SOIL ORE ELEMENT,500,Used,Netherlands
"SPECTRO XSORT XRF alloy analyzer X-Ray Spectrometer, soil, mining ***FINANCING**",724,New,France
Thermo Jarrell Ash Spectrophotometer,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,19500,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,49500,Used,USA
Used Waters Quattro Micro Mass Spectrometer,200000,Used,USA
Refurbished Agilent Technologies Agilent 5975 inert XL MS with 7890 GC/7693 ALS Mass Spectrometer,4500,Refurbished,USA
AB Sciex 2017 Mass Spectrometer,6800,New,USA
Agilent Technologies G1948B Mass Spectrometer,24750,For Parts,USA
Used Nicolet Avatar 360 FTIR,29000,Used,USA
Used Perkin Elmer Sciex ELAN 6100 ICP/MS 90 Day ***Warranty***FINANCING AVAILABLE***,44000,For Parts,USA
Refurbished Perkin-Elmer Optima-OES Model 7300DV,13900,Refurbished,Netherlands
Used Agilent 1260 Infinity II LC Series HPLC System,18900,Used,Netherlands
Used Agilent 1100 Series Binary/DAD HPLC System,724,New,France
Used Waters Alliance e2695 HPLC with 2998 PDA and Empower Pro,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Refurbished,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,13900,For Parts,USA
HORIBA Pentra DF Nexus Hematology Analyzer,280,For Parts,USA
Refurbished Complete Agilent 1100 HPLC with DAD and Data System,1250,Used,USA
Thermo Viper Capillary Kit #5040.2301 Stainless Steel Fingertight Fittings,32,For Parts,USA
Used Mettler Toledo (TharSFC / Berger SFC) TCM 2000 Thermal Control Module,100,Used,USA
Used MetaChem Inertsil ODS-2 5 um 150 x 3.0 mm HPLC Column # 0296-150x030,18,Refurbished,USA
Used Merk SeQuant ZIC-HILIC Peek HPLC Column 3.5m 100 150 x 4.6 mm 1.50444.0001,50,Refurbished,USA
Used Phenomenex Polysep-GFC-P HPLC Column 75 x 7.8mm 03C-3248-K0,30,New,USA
Used Phenomenex Polysep-GFC-P HPLC Column 300 x 7.8mm 00H-3143-K0,10,Used,Netherlands
Used Ace Glass Chromatography Column w/ Stopcock 450mm Working Length 35/20,175,Used,Netherlands
Omnifit Chromatography Column 6.6mm Frit Kit KTA083,724,New,France
Microsolv Cogent Bidentate C18 HPLC Column 4um 150 x 4.6mm # 40018-15P,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,290,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,1870,For Parts,USA
Waters XTerra MS C18 HPLC Column 2.1mm x 150mm #186000454,14500,Used,USA
Refurbished Refurbished Agilent HP 1100 1200 G1313-60009 Transport Assembly with 30-DAY WARRANTY,520,Used,USA
Agilent 7820A GC System (New in original box),349,Used,USA
HP HEWLETT PACKARD 5890 SERIES II 5890A GAS CHROMATOGRAPH (A1),10700,Used,USA
Used Agilent J&W DB-624 GC Column 30 m 0.53 mm 3.00 m LTM 125-1334LTM,126,New,USA
Refurbished Refurbishe Varian Archon Purge and Trap AutoSampler (Water & Soil) with WARRANTY,59995,New,USA
"Used #1 BIOSYSTEMS PHD PLUS ATMOSPHERIC MONITOR, MULTI-GAS METER W/Video And Manual",130000,For Parts,Netherlands
Used GE Analytical Instruments Biacore 4000 Elemental Analyzers,2800,Used,Netherlands
